,Y_t,pi_t,r_t,M_t
2000-06-30,1.8049010344979521,0.7806020318620988,6.27,1.6715720764171493
2000-09-30,0.10188067037173454,0.9099074777342508,6.52,1.1744348930157855
2000-12-31,0.5952635784890248,0.7101889407862494,6.47,1.4800751869250561
2001-03-31,-0.3283372449143229,0.9522167837870299,5.59,2.6117463654133033
2001-06-30,0.6225609914771724,0.6985211090717591,4.33,2.5297403269208374
2001-09-30,-0.4014439041817752,0.2818761273959858,3.5,2.255005979277591
2001-12-31,0.2743986302357726,-0.07490151927189714,2.13,2.2702237635428446
2002-03-31,0.8328805568895703,0.31892750485962296,1.73,1.7251002520588088
2002-06-30,0.6108371693470005,0.7831463051743093,1.75,0.7900298076348733
2002-09-30,0.40568740473787557,0.5368170712909404,1.74,1.8692133012152112
2002-12-31,0.1235287243973815,0.5896135976185768,1.44,2.038663273379626
2003-03-31,0.5252600765849991,1.02339553580455,1.25,1.6340486607207438
2003-06-30,0.8817230452867975,-0.16374030086030444,1.25,1.9457251626223027
2003-09-30,1.6495202585943503,0.7434047842181712,1.02,2.0089905749458126
2003-12-31,1.1540367047402356,0.37882318022983696,1.0,-0.09052231993162962
2004-03-31,0.565052023890189,0.8428564848848907,1.0,0.7790947828159034
2004-06-30,0.7719649918941585,0.7826815851546876,1.01,2.1049324622618215
2004-09-30,0.9441229885171154,0.6357064747675167,1.43,1.1073041738196565
2004-12-31,1.0150391321133156,1.0678547871955324,1.95,1.3062218588782315
2005-03-31,1.1032550529236573,0.5039526830396213,2.47,0.5575122672299315
2005-06-30,0.49141503086236327,0.6735183503465692,2.94,0.6948609998749689
2005-09-30,0.7807581701131383,1.5031018360350146,3.46,1.4149445912558178
2005-12-31,0.5539792372076136,0.9280303951459956,3.98,1.3217016286757755
2006-03-31,1.3364138447713003,0.5197297449230476,4.46,1.3014980031549328
2006-06-30,0.25841857488995146,0.8983575667043553,4.91,1.0710573457885175
2006-09-30,0.14984360400802643,0.9395916160159778,5.25,1.4489844575182431
2006-12-31,0.8557775565416037,-0.4113445997385945,5.25,1.6615246806630068
2007-03-31,0.3003840617131104,0.9757854382431042,5.26,1.4189236649933434
